"date";"births";"id.dom";"id.dow";"id.moy"
1968-05-17;2410;17;"ven\.";"mai"
1968-05-18;2387;18;"sam\.";"mai"
1968-05-19;2250;19;"dim\.";"mai"
1968-05-20;2526;20;"lun\.";"mai"
1968-05-21;2384;21;"mar\.";"mai"
1968-05-22;2419;22;"mer\.";"mai"
1968-05-23;2301;23;"jeu\.";"mai"
1968-05-24;2483;24;"ven\.";"mai"
1968-05-25;2364;25;"sam\.";"mai"
1968-05-26;2397;26;"dim\.";"mai"
1968-05-27;2377;27;"lun\.";"mai"
1968-05-28;2427;28;"mar\.";"mai"
1968-05-29;2470;29;"mer\.";"mai"
1968-05-30;2333;30;"jeu\.";"mai"
1968-05-31;2364;31;"ven\.";"mai"
1968-06-01;2359;1;"sam\.";"juin"
1968-06-02;2237;2;"dim\.";"juin"
1968-06-03;2215;3;"lun\.";"juin"
1968-06-04;2206;4;"mar\.";"juin"
1968-06-05;2323;5;"mer\.";"juin"
1968-06-06;2412;6;"jeu\.";"juin"
1968-06-07;2329;7;"ven\.";"juin"
1968-06-08;2255;8;"sam\.";"juin"
1968-06-09;2243;9;"dim\.";"juin"
1968-06-10;2284;10;"lun\.";"juin"
1968-06-11;2347;11;"mar\.";"juin"
1968-06-12;2321;12;"mer\.";"juin"
1968-06-13;2301;13;"jeu\.";"juin"
1968-06-14;2303;14;"ven\.";"juin"
1968-06-15;2404;15;"sam\.";"juin"
1968-06-16;2337;16;"dim\.";"juin"
1968-06-17;2394;17;"lun\.";"juin"
1968-06-18;2441;18;"mar\.";"juin"
1968-06-19;2461;19;"mer\.";"juin"
1968-06-20;2394;20;"jeu\.";"juin"
1968-06-21;2224;21;"ven\.";"juin"
1968-06-22;2338;22;"sam\.";"juin"
1968-06-23;2209;23;"dim\.";"juin"
1968-06-24;2402;24;"lun\.";"juin"
1968-06-25;2423;25;"mar\.";"juin"
1968-06-26;2447;26;"mer\.";"juin"
1968-06-27;2475;27;"jeu\.";"juin"
1968-06-28;2444;28;"ven\.";"juin"
1968-06-29;2497;29;"sam\.";"juin"
1968-06-30;2330;30;"dim\.";"juin"
1968-07-01;2557;1;"lun\.";"juil"
1968-07-02;2636;2;"mar\.";"juil"
1968-07-03;2363;3;"mer\.";"juil"
1968-07-04;2221;4;"jeu\.";"juil"
1968-07-05;2283;5;"ven\.";"juil"
1968-07-06;2401;6;"sam\.";"juil"
1968-07-07;2117;7;"dim\.";"juil"
1968-07-08;2369;8;"lun\.";"juil"
1968-07-09;2430;9;"mar\.";"juil"
1968-07-10;2440;10;"mer\.";"juil"
1968-07-11;2344;11;"jeu\.";"juil"
1968-07-12;2213;12;"ven\.";"juil"
1968-07-13;2309;13;"sam\.";"juil"
1968-07-14;2211;14;"dim\.";"juil"
1968-07-15;2177;15;"lun\.";"juil"
1968-07-16;2217;16;"mar\.";"juil"
1968-07-17;2355;17;"mer\.";"juil"
1968-07-18;2303;18;"jeu\.";"juil"
1968-07-19;2280;19;"ven\.";"juil"
1968-07-20;2269;20;"sam\.";"juil"
1968-07-21;2126;21;"dim\.";"juil"
1968-07-22;2316;22;"lun\.";"juil"
1968-07-23;2341;23;"mar\.";"juil"
1968-07-24;2359;24;"mer\.";"juil"
1968-07-25;2280;25;"jeu\.";"juil"
1968-07-26;2257;26;"ven\.";"juil"
1968-07-27;2255;27;"sam\.";"juil"
1968-07-28;2130;28;"dim\.";"juil"
1968-07-29;2325;29;"lun\.";"juil"
1968-07-30;2331;30;"mar\.";"juil"
1968-07-31;2329;31;"mer\.";"juil"
1968-08-01;2386;1;"jeu\.";"août"
1968-08-02;2248;2;"ven\.";"août"
1968-08-03;2218;3;"sam\.";"août"
1968-08-04;2000;4;"dim\.";"août"
1968-08-05;2214;5;"lun\.";"août"
1968-08-06;2257;6;"mar\.";"août"
1968-08-07;2218;7;"mer\.";"août"
1968-08-08;2204;8;"jeu\.";"août"
1968-08-09;2295;9;"ven\.";"août"
1968-08-10;2239;10;"sam\.";"août"
1968-08-11;2164;11;"dim\.";"août"
1968-08-12;2249;12;"lun\.";"août"
1968-08-13;2274;13;"mar\.";"août"
1968-08-14;2217;14;"mer\.";"août"
1968-08-15;2136;15;"jeu\.";"août"
1968-08-16;2279;16;"ven\.";"août"
1968-08-17;2165;17;"sam\.";"août"
1968-08-18;2099;18;"dim\.";"août"
1968-08-19;2123;19;"lun\.";"août"
1968-08-20;2227;20;"mar\.";"août"
1968-08-21;2305;21;"mer\.";"août"
1968-08-22;2342;22;"jeu\.";"août"
1968-08-23;2373;23;"ven\.";"août"
1968-08-24;2153;24;"sam\.";"août"
1968-08-25;2106;25;"dim\.";"août"
1968-08-26;2278;26;"lun\.";"août"
1968-08-27;2339;27;"mar\.";"août"
1968-08-28;2326;28;"mer\.";"août"
1968-08-29;2218;29;"jeu\.";"août"
1968-08-30;2202;30;"ven\.";"août"
1968-08-31;2173;31;"sam\.";"août"
1968-09-01;2072;1;"dim\.";"sept"
1968-09-02;2255;2;"lun\.";"sept"
1968-09-03;2277;3;"mar\.";"sept"
1968-09-04;2303;4;"mer\.";"sept"
1968-09-05;2234;5;"jeu\.";"sept"
1968-09-06;2292;6;"ven\.";"sept"
1968-09-07;2332;7;"sam\.";"sept"
1968-09-08;2144;8;"dim\.";"sept"
1968-09-09;2339;9;"lun\.";"sept"
1968-09-10;2411;10;"mar\.";"sept"
1968-09-11;2238;11;"mer\.";"sept"
1968-09-12;2175;12;"jeu\.";"sept"
1968-09-13;2331;13;"ven\.";"sept"
1968-09-14;2441;14;"sam\.";"sept"
1968-09-15;2273;15;"dim\.";"sept"
1968-09-16;2479;16;"lun\.";"sept"
1968-09-17;2348;17;"mar\.";"sept"
1968-09-18;2247;18;"mer\.";"sept"
1968-09-19;2331;19;"jeu\.";"sept"
1968-09-20;2388;20;"ven\.";"sept"
1968-09-21;2395;21;"sam\.";"sept"
1968-09-22;2245;22;"dim\.";"sept"
1968-09-23;2408;23;"lun\.";"sept"
1968-09-24;2419;24;"mar\.";"sept"
1968-09-25;2378;25;"mer\.";"sept"
1968-09-26;2307;26;"jeu\.";"sept"
1968-09-27;2289;27;"ven\.";"sept"
1968-09-28;2317;28;"sam\.";"sept"
1968-09-29;2185;29;"dim\.";"sept"
1968-09-30;2340;30;"lun\.";"sept"
1968-10-01;2343;1;"mar\.";"oct"
1968-10-02;2299;2;"mer\.";"oct"
1968-10-03;2278;3;"jeu\.";"oct"
1968-10-04;2374;4;"ven\.";"oct"
1968-10-05;2243;5;"sam\.";"oct"
1968-10-06;2115;6;"dim\.";"oct"
1968-10-07;2247;7;"lun\.";"oct"
1968-10-08;2227;8;"mar\.";"oct"
1968-10-09;2258;9;"mer\.";"oct"
1968-10-10;2211;10;"jeu\.";"oct"
1968-10-11;2318;11;"ven\.";"oct"
1968-10-12;2220;12;"sam\.";"oct"
1968-10-13;2055;13;"dim\.";"oct"
1968-10-14;2247;14;"lun\.";"oct"
1968-10-15;2155;15;"mar\.";"oct"
1968-10-16;2189;16;"mer\.";"oct"
1968-10-17;2119;17;"jeu\.";"oct"
1968-10-18;2073;18;"ven\.";"oct"
1968-10-19;2227;19;"sam\.";"oct"
1968-10-20;1949;20;"dim\.";"oct"
1968-10-21;2136;21;"lun\.";"oct"
1968-10-22;2177;22;"mar\.";"oct"
1968-10-23;2111;23;"mer\.";"oct"
1968-10-24;2226;24;"jeu\.";"oct"
1968-10-25;2167;25;"ven\.";"oct"
1968-10-26;2108;26;"sam\.";"oct"
1968-10-27;1990;27;"dim\.";"oct"
1968-10-28;2111;28;"lun\.";"oct"
1968-10-29;2133;29;"mar\.";"oct"
1968-10-30;2202;30;"mer\.";"oct"
1968-10-31;2165;31;"jeu\.";"oct"
1968-11-01;1998;1;"ven\.";"nov"
1968-11-02;2129;2;"sam\.";"nov"
1968-11-03;1933;3;"dim\.";"nov"
1968-11-04;2155;4;"lun\.";"nov"
1968-11-05;2133;5;"mar\.";"nov"
1968-11-06;2139;6;"mer\.";"nov"
1968-11-07;2158;7;"jeu\.";"nov"
1968-11-08;2198;8;"ven\.";"nov"
1968-11-09;2106;9;"sam\.";"nov"
1968-11-10;1878;10;"dim\.";"nov"
1968-11-11;1983;11;"lun\.";"nov"
1968-11-12;2109;12;"mar\.";"nov"
1968-11-13;2108;13;"mer\.";"nov"
1968-11-14;2245;14;"jeu\.";"nov"
1968-11-15;2111;15;"ven\.";"nov"
1968-11-16;2132;16;"sam\.";"nov"
1968-11-17;1932;17;"dim\.";"nov"
1968-11-18;2255;18;"lun\.";"nov"
1968-11-19;2135;19;"mar\.";"nov"
1968-11-20;2097;20;"mer\.";"nov"
1968-11-21;2174;21;"jeu\.";"nov"
1968-11-22;2163;22;"ven\.";"nov"
1968-11-23;2224;23;"sam\.";"nov"
1968-11-24;2022;24;"dim\.";"nov"
1968-11-25;2190;25;"lun\.";"nov"
1968-11-26;2197;26;"mar\.";"nov"
1968-11-27;2175;27;"mer\.";"nov"
1968-11-28;2131;28;"jeu\.";"nov"
1968-11-29;2181;29;"ven\.";"nov"
1968-11-30;2105;30;"sam\.";"nov"
1968-12-01;2036;1;"dim\.";"déc"
1968-12-02;2161;2;"lun\.";"déc"
1968-12-03;2147;3;"mar\.";"déc"
1968-12-04;2170;4;"mer\.";"déc"
1968-12-05;2074;5;"jeu\.";"déc"
1968-12-06;2311;6;"ven\.";"déc"
1968-12-07;2109;7;"sam\.";"déc"
1968-12-08;1999;8;"dim\.";"déc"
1968-12-09;2183;9;"lun\.";"déc"
1968-12-10;2212;10;"mar\.";"déc"
1968-12-11;2130;11;"mer\.";"déc"
1968-12-12;2111;12;"jeu\.";"déc"
1968-12-13;2020;13;"ven\.";"déc"
1968-12-14;2244;14;"sam\.";"déc"
1968-12-15;1990;15;"dim\.";"déc"
1968-12-16;2366;16;"lun\.";"déc"
1968-12-17;2258;17;"mar\.";"déc"
1968-12-18;2275;18;"mer\.";"déc"
1968-12-19;2133;19;"jeu\.";"déc"
1968-12-20;2080;20;"ven\.";"déc"
1968-12-21;2202;21;"sam\.";"déc"
1968-12-22;1990;22;"dim\.";"déc"
1968-12-23;2086;23;"lun\.";"déc"
1968-12-24;2079;24;"mar\.";"déc"
1968-12-25;1965;25;"mer\.";"déc"
1968-12-26;2148;26;"jeu\.";"déc"
